id,v,p,t,url
openluchtmuseum,Aan de kassa,24.00,flexibel,https://www.openluchtmuseum.nl/tickets
openluchtmuseum,Online datumticket,23.00,datumticket,https://www.openluchtmuseum.nl/tickets
anne-frank,Officieel online,16.50,datumticket,https://www.annefrank.org/nl/museum/tickets/
madame-tussauds,Aan de deur,27.00,flexibel,https://www.madametussauds.com/amsterdam/tickets-prijzen/
madame-tussauds,Online,23.50,datumticket,https://www.madametussauds.com/amsterdam/tickets-prijzen/
corpus,Standaard,25.95,flexibel,https://corpusexperience.nl/tickets-tarieven/
corpus,Tripper actie,19.95,actie,https://www.tripper.nl/deal/ticket-corpus-korting
mauritshuis,Online datumticket,19.50,datumticket,https://tickets.mauritshuis.nl/
mauritshuis,€4-ticket (na 16:00 NL),4.00,actie,https://www.mauritshuis.nl/
